-3286.43266802,[ 20239.70699223],[-29062.3085434]
 37608.90495134,[ 53487.93875954],[-82035.81533726]
-76163.93564695,[-83816.96670387],[-91246.08209967]
 23832.32728526,[-45329.51122904],[-27437.15614436]
 95839.69966919,[-74106.6417526],[ 68503.51561832]
-39157.56327944,[ 35301.96921595],[ 39579.07635162]
 55272.57679482,[-55060.66290422],[ 55029.23980721]
 85814.8932965,[ 49016.32996473],[ 91913.11790551]
 17867.27222275,[-13052.33590222],[ 85713.99598857]
-20874.72108014,[-69487.80215532],[-95096.41386944]
 31886.43770802,[ 11082.03621952],[ 98071.71031596]
 44061.26901054,[-70751.45605497],[ 96400.32245077]
 64381.68954055,[ 77600.24801931],[ 83222.11438873]
 47810.12217427,[-12457.50225767],[-44322.47322677]
 84845.77419178,[-17047.80415925],[-70703.52570742]
-34495.95434127,[-55660.68172629],[ 62930.78845474]
 77019.58721297,[-7628.6065388],[ 95088.404307]
 22512.2614416,[-69633.32016196],[-95648.97162208]
-81597.08260526,[-15072.15551477],[-19789.12236513]
-31828.26227212,[-85913.87483065],[ 24297.29132506]
 12755.78431568,[ 86497.54390023],[ 64889.9338043]
 7721.83074119,[-19865.12948349],[-62786.89215954]
 82128.265709,[-61928.39161252],[-49726.21249225]
 47154.45066015,[-4901.70542177],[-94815.80991237]
 781.31762403,[ 75431.42649062],[-19822.94167709]
 91601.97293053,[ 23920.93451025],[-61829.88746602]
 98346.91526324,[-23368.45073532],[ 38526.41770338]
 48157.65410186,[ 1629.63968796],[ 74782.04636736]
 30182.734409,[ 92496.89545063],[ 36213.09826667]
 37066.36652177,[ 72202.11180301],[ 5810.84583153]
 47835.7619124,[-80420.39817754],[-92167.19173347]
 32987.9676688,[-52668.42373929],[ 45330.70140981]
 1023.23207569,[ 97064.40376616],[ 96504.93586761]
 15128.95261509,[-99793.2258506],[-64347.12427775]
 58909.55400633,[-85044.09069103],[-17594.35003466]
-52999.10795649,[-48166.82870423],[ 17225.05166024]
-48288.35122601,[-43760.91223652],[-54944.12159694]
-82614.16932193,[ 88224.93929749],[ 70071.14255054]
 16598.27120062,[ 54279.4397209],[ 32688.83776816]
 22867.93409016,[ 26501.73462091],[-88805.89724247]
 73222.68202546,[ 15478.11529995],[ 78700.52353954]
 46347.4330841,[ 66434.61172528],[-17819.83186551]
 72793.53170067,[ 54536.85653418],[ 67231.78706057]
 88430.57913923,[-76759.68963604],[ 8691.15286535]
 43605.23148756,[-25597.98663024],[-76067.87091295]
-18133.24217448,[ 70851.22295068],[-17848.24282092]
 81367.24289152,[ 78757.73727762],[-9300.60624843]
 12793.65251136,[ 15316.6896407],[ 46369.6587164]
 7563.46755757,[ 77996.52754635],[ 23076.98214316]
 14038.44578062,[-90656.16553169],[ 72579.54134988]
 94527.58173704,[ 75613.07385639],[-19928.24245484]
-94998.75327513,[ 72116.46031045],[-60507.09342224]
-7568.10260389,[ 50482.21854779],[ 1337.1769114]
-55919.69599279,[ 24818.29575091],[ 55674.56975428]
 24504.61101541,[ 89411.90948704],[-51896.60950258]
-52068.69733098,[-74029.613167],[ 39903.72665403]
-29818.79795265,[ 61099.12116743],[-26622.11810305]
 48290.28989841,[ 32757.9832425],[ 59880.42595975]
 42063.69614404,[ 86758.58017788],[-80457.5547494]
-57043.63100029,[-31148.15128063],[ 71175.26538149]
 81876.21274533,[ 71077.84160435],[-38849.95093856]
 73916.37511304,[-16120.62102631],[ 19844.90730138]
 99388.16137615,[ 69464.40548441],[ 93085.78582553]
-34445.53389885,[ 8140.36699217],[ 71721.3411268]
 72942.48771807,[ 82078.87077155],[ 87823.60702199]
 82572.66323762,[ 12250.05962383],[ 48016.26582201]
-88369.93156246,[-41058.48120808],[ 75181.8469457]
-58837.61247134,[ 6550.80784443],[-93906.76487958]
-61036.29363964,[-96623.97320509],[-45438.79390841]
-70513.99768495,[ 73773.34430886],[-82694.53259268]
-90722.41589116,[ 92928.63104449],[-5918.38850691]
-56500.33074185,[-26501.40886995],[-24402.26529438]
 54706.24085636,[ 53992.67732218],[ 60987.68451355]
 25054.28139228,[-96633.27227635],[ 82377.73772132]
 67901.58875294,[-57998.32027367],[-20971.62057614]
-53626.41703677,[-52278.86538735],[ 98449.80018914]
-21602.26735333,[-22275.97470198],[-75852.52799478]
-57793.87611455,[-58051.29165607],[ 3769.72446541]
-50020.45611446,[ 69326.10278736],[ 47028.70266374]
 28007.87732002,[ 78538.93638328],[-52460.97415655]
 42038.97071748,[-19581.74293587],[-81889.13221009]
-40031.21914195,[ 45656.13375268],[ 28457.26115936]
-63319.02483398,[ 16802.30830307],[-33642.198267]
 89925.48413114,[-72150.95192611],[-81693.48109761]
 10980.07706124,[ 12545.91662736],[ 38633.71905952]
-7549.85869316,[ 27819.90928052],[ 12725.67993454]
 71649.70330048,[-48176.28409173],[ 86394.74529256]
 85904.78575033,[ 75773.39119009],[ 54514.30780314]
-43919.68582225,[ 56037.6523519],[-32986.21110322]
 57614.01134278,[-33517.62641413],[-980.25840225]
-25013.58920397,[-31663.2427689],[-34570.98433465]
 11333.7753067,[ 74743.21161709],[-39656.27093851]
-93012.80608143,[ 20751.48685196],[ 89432.74907553]
-11306.6365946,[-75568.90819067],[ 83459.6232281]
-31619.50758116,[ 28227.52169644],[-47872.61375015]
 96173.78166656,[-22240.39825869],[-75644.43766517]
-59984.99141264,[-50590.67751894],[ 24485.18658665]
 9856.44918141,[-17587.68685975],[ 75815.348583]
 38772.29149217,[-25086.53875007],[-61936.28674487]
 38484.27976714,[-66767.51218756],[ 99118.44559935]
 96244.05909049,[ 56476.05104739],[-66040.67512342]
 6496.01488902,[ 88820.31111604],[-21793.31009378]
-77106.70342693,[ 39523.52317725],[-52899.59852461]
-50865.13276253,[-86604.03012536],[ 40348.28902654]
 23939.66788928,[-21845.49389108],[-6647.9894379]
 41228.44126796,[ 37279.4732853],[-65789.18375845]
-11744.85314496,[ 72076.38194623],[ 54831.34549051]
 94596.70982397,[-50305.06454213],[ 64689.68842553]
 44394.39849405,[ 95571.58362127],[-7295.1424052]
-28561.76449351,[-65450.6124699],[ 39020.15494372]
